Id;MSSubClass;MSZoning;LotFrontage;LotArea;Street;Alley;LotShape;LandContour;Utilities;LotConfig;LandSlope;Neighborhood;SalePrice
1;60;RL;65;8450;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;CollgCr;208500
2;20;RL;80;9600;Pave;NA;Reg;Lvl;AllPub;FR2;Gtl;Veenker;181500
3;60;RL;68;11250;Pave;NA;IR1;Lvl;AllPub;Inside;Gtl;CollgCr;223500
4;70;RL;60;9550;Pave;NA;IR1;Lvl;AllPub;Corner;Gtl;Crawfor;140000
5;60;RL;84;14260;Pave;NA;IR1;Lvl;AllPub;FR2;Gtl;NoRidge;250000
6;50;RL;85;14115;Pave;NA;IR1;Lvl;AllPub;Inside;Gtl;Mitchel;143000
7;20;RL;75;10084;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;Somerst;307000
8;60;RL;NA;10382;Pave;NA;IR1;Lvl;AllPub;Corner;Gtl;NWAmes;200000
9;50;RM;51;6120;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;OldTown;129900
10;190;RL;50;7420;Pave;NA;Reg;Lvl;AllPub;Corner;Gtl;BrkSide;118000
11;20;RL;70;11200;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;Sawyer;129500
12;60;RL;85;11924;Pave;NA;IR1;Lvl;AllPub;Inside;Gtl;NridgHt;345000
13;20;RL;NA;12968;Pave;NA;IR2;Lvl;AllPub;Inside;Gtl;Sawyer;144000
14;20;RL;91;10652;Pave;NA;IR1;Lvl;AllPub;Inside;Gtl;CollgCr;279500
15;20;RL;NA;10920;Pave;NA;IR1;Lvl;AllPub;Corner;Gtl;NAmes;157000
16;45;RM;51;6120;Pave;NA;Reg;Lvl;AllPub;Corner;Gtl;BrkSide;132000
17;20;RL;NA;11241;Pave;NA;IR1;Lvl;AllPub;CulDSac;Gtl;NAmes;149000
18;90;RL;72;10791;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;Sawyer;90000
19;20;RL;66;13695;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;SawyerW;159000
20;20;RL;70;7560;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;NAmes;139000
21;60;RL;101;14215;Pave;NA;IR1;Lvl;AllPub;Corner;Gtl;NridgHt;325300
22;45;RM;57;7449;Pave;Grvl;Reg;Bnk;AllPub;Inside;Gtl;IDOTRR;139400
23;20;RL;75;9742;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;CollgCr;230000
24;120;RM;44;4224;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;MeadowV;129900
25;20;RL;NA;8246;Pave;NA;IR1;Lvl;AllPub;Inside;Gtl;Sawyer;154000
26;20;RL;110;14230;Pave;NA;Reg;Lvl;AllPub;Corner;Gtl;NridgHt;256300
27;20;RL;60;7200;Pave;NA;Reg;Lvl;AllPub;Corner;Gtl;NAmes;134800
28;20;RL;98;11478;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;NridgHt;306000
29;20;RL;47;16321;Pave;NA;IR1;Lvl;AllPub;CulDSac;Gtl;NAmes;207500
30;30;RM;60;6324;Pave;NA;IR1;Lvl;AllPub;Inside;Gtl;BrkSide;68500
31;70;C (all);50;8500;Pave;Pave;Reg;Lvl;AllPub;Inside;Gtl;IDOTRR;40000
32;20;RL;NA;8544;Pave;NA;IR1;Lvl;AllPub;CulDSac;Gtl;Sawyer;149350
33;20;RL;85;11049;Pave;NA;Reg;Lvl;AllPub;Corner;Gtl;CollgCr;179900
34;20;RL;70;10552;Pave;NA;IR1;Lvl;AllPub;Inside;Gtl;NAmes;165500
35;120;RL;60;7313;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;NridgHt;277500
36;60;RL;108;13418;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;NridgHt;309000
37;20;RL;112;10859;Pave;NA;Reg;Lvl;AllPub;Corner;Gtl;CollgCr;145000
38;20;RL;74;8532;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;NAmes;153000
39;20;RL;68;7922;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;NAmes;109000
40;90;RL;65;6040;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;Edwards;82000
41;20;RL;84;8658;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;NAmes;160000
42;20;RL;115;16905;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;Timber;170000
43;85;RL;NA;9180;Pave;NA;IR1;Lvl;AllPub;CulDSac;Gtl;SawyerW;144000
