id;gender;masterCategory;subCategory;articleType;baseColour;season;year;usage;productDisplayName;filename;link;gender_group
59975;Women;Apparel;Dress;Dresses;Black;Fall;2012;Casual;Avirate Black & Purple Dress;59975.jpg;http://assets.myntassets.com/v1/images/style/properties/Avirate-Black---Purple-Dress_f957a7507df7b5ca858ca99770717c93_images.jpg;WOMEN
34935;Women;Apparel;Topwear;Dupatta;Purple;Summer;2012;Ethnic;Fabindia Purple Dupatta;34935.jpg;http://assets.myntassets.com/v1/images/style/properties/7a385798c94d7a667ba69224c0803897_images.jpg;WOMEN
22233;Men;Accessories;Shoe Accessories;Shoe Accessories;Black;Fall;2012;;Timberland Men Black Shoe Laces;22233.jpg;http://assets.myntassets.com/v1/images/style/properties/Timberland-Men-Black-Shoe-Accessories_ac619c70bf0d495ae2978178595647ac_images.jpg;MEN
19491;Men;Apparel;Innerwear;Trunk;Green;Summer;2016;Casual;Levis Men Jazz Stripes Green Trunks;19491.jpg;http://assets.myntassets.com/v1/images/style/properties/5f6d34b8c14985fc65c9a5522ccd762f_images.jpg;MEN
59568;Men;Accessories;Cufflinks;Cufflinks;Steel;Summer;2012;Casual;Revv Men Black Cufflinks;59568.jpg;http://assets.myntassets.com/v1/images/style/properties/Revv-Men-Black-Cufflinks_6ba78bcf9f117fac040fc16337f05231_images.jpg;MEN
13469;Men;Apparel;Topwear;Tshirts;Pink;Fall;2011;Casual;United Colors of Benetton Men Printed Pink Tops;13469.jpg;http://assets.myntassets.com/v1/images/style/properties/b196a5478adf63e891da00e7cf930358_images.jpg;MEN
54742;Men;Footwear;Shoes;Casual Shoes;Brown;Summer;2012;Casual;Vans Men Brown Shoes;54742.jpg;http://assets.myntassets.com/v1/images/style/properties/Vans-Men-Brown-Zapato-Del-Barco-Shoes_9ea6a3994edcef75b8dfad3017fa6d82_images.jpg;MEN
37131;Men;Apparel;Topwear;Shirts;Lavender;Summer;2012;Formal;Wills Lifestyle Men Striped Lavender Shirt;37131.jpg;http://assets.myntassets.com/v1/images/style/properties/3dd3f649c8bbb316430e98b75ac5e58e_images.jpg;MEN
57961;Women;Apparel;Saree;Sarees;Black;Fall;2012;Ethnic;Prafful Women Black & Grren Sari;57961.jpg;http://assets.myntassets.com/v1/images/style/properties/Prafful-Women-Multi-Coloured-Sari_82607f83f133913af4167094b5354247_images.jpg;WOMEN
46185;Women;Accessories;Jewellery;Jewellery Set;Multi;Winter;2015;Casual;Adrika  Multi Coloured Teracotta Jewellery Set;46185.jpg;http://assets.myntassets.com/v1/images/style/properties/e23ea1b706b27c013accbea12a21a58f_images.jpg;WOMEN
44223;Men;Apparel;Topwear;Tshirts;Black;Summer;2012;Casual;Nike Men Black Football T-shirt;44223.jpg;http://assets.myntassets.com/v1/images/style/properties/f79e80ac53f1ddb6008310d19c7b61c2_images.jpg;MEN
42313;Women;Apparel;Saree;Sarees;Beige;Summer;2010;Ethnic;Prafful Belge & Red Crepe Printed Saree;42313.jpg;http://assets.myntassets.com/v1/images/style/properties/1f94f40cbe6bd1cd3a1df0049c9e7c16_images.jpg;WOMEN
4456;Men;Apparel;Topwear;Tshirts;White;Summer;2011;Sports;Nike Men's Kobe Epic White T-shirt;4456.jpg;http://assets.myntassets.com/v1/images/style/properties/4d07f0ca4a5ea2293fdb80ca2c87a0f9_images.jpg;MEN
57860;Women;Personal Care;Skin Care;Toner;Green;Spring;2017;;Biotique Bio Cucumber Pore Tightening Freshener;57860.jpg;http://assets.myntassets.com/v1/images/style/properties/Biotique-Bio-Cucumber-Pore-Tightening-Freshener_15956de9bb5283d98843a581242c800d_images.jpg;WOMEN
12625;Men;Apparel;Topwear;Tshirts;Orange;Fall;2011;Casual;Probase Men Printed Orange Tshirts;12625.jpg;http://assets.myntassets.com/v1/images/style/properties/3ecb04a852fe3408812fd029b74faf3b_images.jpg;MEN
54976;Women;Apparel;Dress;Dresses;Pink;Summer;2012;Casual;Femella Women Pink Dress;54976.jpg;http://assets.myntassets.com/v1/images/style/properties/Femella-Women-Multi-Coloured-Dress_f927f3fcdc8a626f621374a272b99b17_images.jpg;WOMEN
48089;Women;Apparel;Topwear;Tops;Burgundy;Summer;2012;Casual;French Connection Women Burgundy Top;48089.jpg;http://assets.myntassets.com/v1/images/style/properties/432cf98d81c0d1041f0e97d243c2442a_images.jpg;WOMEN
53914;Women;Accessories;Bags;Handbags;White;Summer;2012;Casual;Kiara Women White Handbag;53914.jpg;http://assets.myntassets.com/v1/images/style/properties/KIARA-Women-White-Handbag_96b347d3aa53bcce0daca0b46fccfd27_images.jpg;WOMEN
22228;Women;Apparel;Topwear;Tshirts;Yellow;Fall;2011;Casual;Little Miss Women Sunshine Yellow T-shirt;22228.jpg;http://assets.myntassets.com/v1/images/style/properties/bcc29aa88b5c750e19b6ce6184cca1f6_images.jpg;WOMEN
3062;Men;Apparel;Topwear;Tshirts;Blue;Summer;2011;Casual;Tantra Men's Vegetarian Blue T-shirt;3062.jpg;http://assets.myntassets.com/v1/images/style/properties/a0a103cd4e88eb72695791e772b65c1f_images.jpg;MEN
53520;Women;Apparel;Innerwear;Bra;Black;Winter;2015;Casual;Amante Black Full-Coverage Lace Bra BGBR11;53520.jpg;http://assets.myntassets.com/v1/images/style/properties/Amante-Black-Bra_4dcfbcc6bc05dbff60ef3f00a575b4eb_images.jpg;WOMEN
28384;Men;Accessories;Eyewear;Sunglasses;Black;Winter;2016;Casual;Idee Men Black Sunglasses;28384.jpg;http://assets.myntassets.com/v1/images/style/properties/IDEE-Men-Black-Sunglasses85f318933db873ac18b44b4c6574fea5_images.jpg;MEN
